,has_fax,has_email,has_website,has_socialNetwork,has_phone,contact_ID
42,,segreteria@aritn.it,http://www.aritn.it,,,cp_2551604281
43,,,http://www.sportivando.it,,,cp_3452463100
44,,associazioneausertn@gmail.com,,,0461391408,cp_5837485578
45,0461 920293,baobab_nov@yahoo.it,,,0461 920293,cp_8077029767
46,0461 925751,info@casapadreangelo.it,,,0461 925751,cp_6815124120
47,0461 235008,info@alfid.it,http://www.alfid.it|www.alfid.it,,0461 235008,cp_2531292064
48,0461230775,info@alzheimertrento.org,http://www.alzheimertrento.org,,0461230775,cp_4233201345
49,,,http://www.hockeyamatori.tn.it,,,cp_5345086104
50,02700560894,trento@amicitrentini.it,,,0461260490,cp_5611901570
51,,gr150@amnesty.it,,,3899896266,cp_4379930844
52,0461230235,trento@ana.it,,,0461985246,cp_5045158889
53,0461407500,associazione@anffas.tn.it,,,0461407511,cp_2294333494
54,0461 917395,info@neonatologiatrentina.it,,,0461 917395,cp_5951795882
55,,info@aftonlus.org,http://www.aftonlus.org,,0461232319,cp_3485213814
56,06/32723522,trento@coni.it,http://www.conitrento.it/,,0461/217491,cp_1038689046
57,0461235986,mail@cooplarete.org,,,0461987269,cp_8340281741
58,0461/236757,info@csitrento.it,http://www.csitrento.it,,0461/1821695,cp_7316354162
59,,,http://www.unisport.tn.it,,,cp_8578867381
60,0461 980909,info@diagonal.it,,,0461 980969,cp_3007436298
61,,,http://www.aquilabasket.it,,,cp_2155350711
62,,info@coloniaalpinagardolo.it,,,0461/990279,cp_8867059768
63,0461 934280,info@faicoop.com,http://www.faicoop.com/,,0461 911509,cp_7662889877
64,,trento@famiglienumerose.org,,,338 1083575,cp_7324232147
65,, info@fatefaville.it,,,3387636182,cp_8485117937
66,,trentino@federciclismo.it,http://www.ciclismotrentino.it/,,335 6430486,cp_2994202740
67,0461/982009,avaluke@virgilio.it,http://www.crickitalia.org/it/federazione,,0461/982009,cp_7477873848
68,,dpa.trento@federginnastica.it,http://www.fgitrentino.it/pagina.asp?pid=61,,0461 237879,cp_1211760123
69,,info@fiab-trento.it,https://www.fiab-trento.it/,,328 4691683,cp_7523462082
70,0461981001,fib_trentino@virgilio.it,http://www.federbocce.it/trento/sede.html ,,0461981001,cp_6997119908
71,,trento@badmintonitalia.net ,http://www.badmintonitalia.it/ ,,,cp_5756097784
72,,crono.trento@ficr.it,http://www.assokronos.it,,0461986432,cp_7484585768
73,0461/983474,cr.trento@fidal.it ,http://trentino.fidal.it/ ,,0461/983474,cp_5733634779
74,,,http://www.federbridge.it,,0461932015,cp_6535000945
75,0461984140,info@figctrento.it,http://www.figctrento.it/ ,,0461984050,cp_5156102094
76,,trentino@figh.it,http://www.figh.it/home/la-figh/organi-territoriali/delegazione-regionale-trentino.html,,0464-435006,cp_6490337623
77,0461269441,fin@fintrentino.it,http://www.fintrentino.it,,0461231456,cp_2003401116
78,0461235957,info@trento.fip.it,http://fip.it/trentinoaltoadige/DocumentoNoList.asp?IDCartella=1160 ,,0461230784,cp_9983166509
79,0461238242,segreteria@fipav.tn.it ,http://www.fipav.tn.it,,0461984192,cp_8786754111
80,,trento@fipsas.it,http://www.fipsastrentino.it,,3381599228,cp_8376140765
81,,info@tamburellotrentino.it ,http://www.tamburellotrentino.it/ ,,,cp_7927559298
82,,trentino@fise.it,https://www.fise.it/federazione/territorio/trentino.html,,338 8700515,cp_2833563731
83,0461986355,cptrentino@fisg.it ,https://www.fisg.it/web/comitati-regionali/ ,,0461986252,cp_4229269814
84,0461232473,segreteria@fisitrentino.it,http://www.fisitrentino.it/,,0461232256,cp_2837441277
85,,scinauticotn@hotmail.it,http://www.scinautico.com/home/la-federazione/organizzazione.html ,,,cp_2839888439
86,0461236424,info@fiso.it,http://www.fiso.it/federazione.php ,,0461231380,cp_1658583774
87,0461982009,		crtrento@federtennis.it ,www.fittrentino.it ,,0461237162,cp_9230917731
88,,fitarcotrento@fitarco-italia.org ,http://www.fitarco-italia.org/comitatiregionali/index.php?CercaRegioni=05,,3296378013,cp_4358486024
89,,delegato@trento.fitri.it,http://www.trento.fitri.it,,392 4589266,cp_3647112653
90,,r.bergamaschi@federvela.it,http://www.federvela.it,,3356319053,cp_9744550991
91,,crfpitn@tiscali.it,http://www.fpi.it,,,cp_8105266496
92,0461924606,socrem.trento@libero.it ,,,0461391442,cp_1557356243
93,,,http://www.trentinocricketclub.altervista.org/,,,cp_2264264305
94,,info@trent-o.org,http://www.trent-o.org,,,cp_2179591951
95,0461/231128,trento@uisp.it,http://www.uisp.it/trento,,0461/231128,cp_9907629019
96,0461 1590437,associazione@prodigio.it,,,0461 925161,cp_2282821875
97,,info@puntofamiglie.it,http://www.puntofamiglie.it|www.puntofamiglie.it,,0461 391383,cp_5216612640
98,0461932287,info@romaclubtrentino.it,,,0461932287,cp_4261378259
99,,,,,,cp_8091508830
100,,,http://www.acfclarentia.com,,,cp_9760373935
101,,info@yomoyamabanashi.it,,www.facebook.com/yomoyamabanashi,345 7866166,cp_7250390615
102,,,,,,cp_3284177194
103,,,http://www.sportsmile.net,,,cp_1627205858
104,,led@vsi.it,,,0461 268873,cp_1926210880
105,,,,,,cp_4936095732
106,,,http://www.gsdequitazionetrento.com,,,cp_8577360028
107,,info@solterisangiorgio.it,http://www.solterisangiorgio.it/,https://it-it.facebook.com/pages/category/Amateur-Sports-Team/ASD-Solteri-San-Giorgio-Trento-1467300170165326/,,cp_5613904842
108,,,http://www.gsmarzola.it,,,cp_5704789830
109,,,http://www.ilquintosigillo.it,,,cp_5991634662
110,,,http://www.judoteamgc.it,,,cp_2530999856
111,0461911003,info@legapasibattisti.it,,,0461911003,cp_9999278526
112,0461/891140,trento@noiassociazione.it,,,0461/891203,cp_1615309929
113,,parkinson.trento@gmail.com,http://www.parkinson-trento.it,,0461931943,cp_4606248723
114,0461222951,ama.trento@tin.it,,,0461239640,cp_7971986544
115,,info@gmtmodellismo.it,,,333 2685578,cp_2393792051
116,,denycarloni@gmail.com,http://www.imusicicantori.it,https://www.facebook.com/groups/musici.cantori.trento/ ,,cp_4129130192
117,,info@whyinsieme.org,,,3478224608,cp_4973704206
118,0461 314223,segreteria@studitrentini.it,,,0461 314208,cp_6169037455
119,0461394756,coro@piccolecolonne.it,,,0461935133,cp_5329338677
120,,barycentro@gruppospes.it,,,0461 262802,cp_4978646009
121,,info@creceremosjuntos.org,,,0461915030 ,cp_5398482988
122,0461234781,info@federcoritrentino.it,,,0461983896,cp_7236299414
123,,info@filodrammaticalalogeta.it ,,,345 4455606,cp_2582166540
124,0461 816155 ,amicitta@tin.it,www.amicitta.com ,,331 1738849,cp_3616524091
125,0461865481,info@oasi.tn.it,,,0461 865481,cp_9739604428
126,,info@esperanto.trento.it ,,,,cp_9644535078
127,,vittsim@yahoo.it,,,3332673487,cp_9423793477
128,0461234482,lacerchia@virgilio.it,,,0461234482,cp_1452651973
129,,info@biodanzadharma.it,,,,cp_7455661876
130,,,http://www.san-bao.it    ,,,cp_9098976283
131,,redazione.temporaonlus@gmail.com,https://temporaonlus.jimdo.com/ ,https://www.facebook.com/tempora.onlus/  ,342 5144241,cp_1102581398
132,0461 397472,info@ilgiocodeglispecchi.org,,,0461 916251,cp_2487297831
133,,ci_cu_co@yahoo.it,,,3477363408,cp_9375372230
134,0461 930529,millevoci@provincia.tn.it,,,0461 499230,cp_6641915556
135,,circoloallergia@libero.it,,,3386767559,cp_2068159225
136,0461924095,Silvano.concis@gmail.com,,,0461924095,cp_6305437065
137,0461 811026,club@tuttapovo.it,,,0461 811026,cp_8795795385
138,0461910788,info@comitatoassociazionioltrefersina.it,,,3489320138,cp_3336020845
139,,coro.altreterre@gmail.com,,,3384051146,cp_3529048268
140,0461 427544,info@agsat.org,,,0461 420351,cp_9796680554
141,,,http://www.maliweil.org,,,cp_1213507184
142,,,http://www.montevaccino.it,,,cp_2715475614
143,,info@bottegabuffacircovacanti.it,,,3497227824,cp_4725959097
144,,info@chiacchiere-in-musica.it ,,,320 826894,cp_6388907266
145,,,http://www.karatetrento.com,,,cp_5648249437
146,,childeducenter.rus.tn@gmail.com,,,348 8217364,cp_1677556845
147,,albertdedja@email.it,,,0461 238630,cp_2493317250
148,,teatromoda@hotmail.com,www.teatromoda.it,,3356740098,cp_8290747769
149,,coropiccolemelodie@gmail.com ,,,338 1139407,cp_1320936676
150,,noiquartieritrentosud@gmail.com,,https://www.facebook.com/Noiquartieri/,3497908092,cp_1156636178
151,,club@trento4x4.it ,www.trento4x4.it,,328 1508075,cp_8685413798
152,,yankadi.tn@gmail.com,http://kikeyambe.altervista.org/,https://www.facebook.com/yankadi.tn/,349 5881681,cp_9609963368
153,,,http://www.rugbytrento.it,,,cp_6429711847
154,,tonico52@yahoo.it,www.promartrento.net,https://www.facebook.com/groups/34617354754/,347 5308221,cp_3007370239
155,,presidente.trento@cngei.it,,,335 7859468,cp_6840366082
156,, cptrento@federugby.it,https://www.federugby.it/index.php?option=com_content&view=article&id=453&Itemid=774 ,, 334/6869708,cp_9689443531
157,,,https://www.fijlkam.it/trento/,,0461 208004,cp_7706415162
158,,terpsichoredanzatrento@gmail.com,,www.facebook.com/terpsichoredanzatrento,3332847929,cp_2808502309
159,,,http://www.sportivighiaccio.trento.it,,,cp_8235679469
160,,,www.skatingtrento.it,,,cp_2176392938
161,,info@sputniktrento.it,www.sputniktrento. it,Sputnik Trento,329 6507393,cp_9727185508
162,,,http://www.artsegym.it,,,cp_9660641627
163,,,http://360danceconnection.it,,,cp_6578304486
164,,,http://ashtangayogatrento.com/,,,cp_9948763419
165,0461391607,associazione@estuario.it,,,0461391799,cp_1190148069
166,,fondoprogettidisolidarieta@gmail.com,www.fondoprogettidisolidarieta.wordpress.com,,,cp_2906140774
167,,caldararenato@gmail.com,,,3397091509,cp_9672907998
168,,,http://www.centrostudiorientali.it,,,cp_5582867762
169,,info@musictogethertrento.it,http://www.musictogethertrento.it ,www.facebook.com/musictogether.tnbz ,3806418132  ,cp_8027814672
170,0461 233210,info@tridentumbike.it,http://www.tridentumbike.it,https://www.facebook.com/Tridentum-Bike-330719240371543/,3356837359,cp_9780708200
171,,segreteria@estroteatro.it,https://www.estroteatro.com/,https://it-it.facebook.com/estroteatro,0461235331,cp_4715531696
172,,spaziogalasso13@gmail.com,https://www.galasso13.it/ ,https://it-it.facebook.com/Galasso13/ ,,cp_9903996823
173,,inmente.tn@gmail.com,https://www.inmente.tn.it/,https://it-it.facebook.com/inmentepsicologia ,0461 218855,cp_1804784871
174,,info@tremembe.it,http://www.tremembe.it,https://www.facebook.com/TremembeOnlus/,3384157742,cp_3243203729
175,,redazione@cdmrovereto.it,https://www.cdmrovereto.it/ ,https://www.facebook.com/cdm.musicateatrodanza/ ,0464 422655,cp_8932900299
176,,sandra.mattedi@alice.it,,https://it-it.facebook.com/ilsentierodeltibet/ ,349 2168587,cp_8897497425
177,,proloco.ca.comuna@gmail.com,https://www.ortoinvilla.com/ ,https://www.facebook.com/Proloco.Ca.Comuna.Meanese/ ,320 3281114,cp_5893170553
178,,info@teatroportland.it,http://www.teatroportland.it,https://it-it.facebook.com/portland.nuoviorizzontiteatrali/ ,0461 924470,cp_3006116153
179,,segreteria@acvminers.it,http://www.acvminers.it/,,348 4429124,cp_1939235918
180,,info@bandagardolo.it,http://www.bandagardolo.it,,340 0037333,cp_7357746385
181,,info@studioandromeda.net,https://www.studioandromeda.net/, https://www.facebook.com/StudiodArteAndromeda/,0461 262373 ,cp_1038279669
182,,atu.unitn@gmail.com,,,3707045538,cp_8186112845
183,,tsntrento@pec.tsntrento.com,http://www.tsntrento.com,,0461 990149,cp_1238195972
184,,laviadelfuoco@gmail.com,http://www.laviadelfuoco.it,http://www.facebook.com/laviadelfuoco,345 8833501,cp_1676799350
185,,info@lanudacompagnia.it,http://www.lanudacompagnia.it,https://www.facebook.com/lanudacompagnia/, 3209052894,cp_2371055747
186,,armonia.ala@libero.it,https://www.armoniaericerca.it/  ,https://facebook.com/LILITH.FRANCESCA/    ,347 8172640,cp_1934152032
187,,,http://www.bondonepallamano.it/,,,cp_6154858383
188,,info@maestriscicristallo.it,http://www.maestriscicristallo.it/it/ ,https://it-it.facebook.com/MaestrisciCristallo/ ,380 6328814,cp_3922467834
189,,nwcamminaretrentino@gmail.com,https://www.nwcamminaretrentino.com/ ,https://www.facebook.com/nwcamminaretrentino/ ,340 0709310,cp_1621447007
190,,fidapatrento1965@gmail.com,https://www.fidapadistrettonordest.org/ ,https://www.facebook.com/associazionefidapatrento/,331 7589364,cp_1207446972
191,,info@coderdolomiti.it,https://www.coderdolomiti.it,https://www.facebook.com/CoderDojoTrento  , 0461 1862768,cp_2687665598
192,,domitilla.luna@virgilio.it,,,,cp_5299319300
193,,segreteria@nuovodojotrento.it,http://www.nuovodojotrento.it/,https://www.facebook.com/nuovodojotrento/,0461 1483472,cp_9793164838
194,,associazione@armonicaamica.it,http://www.armonicaamica.it/ ,,340 5026235,cp_5164247848
195,,linomiori@virgilio.it,https://www.sat.tn.it/sezioni-e-soci/elenco-sezioni/cognola ,,3497809144,cp_6600115205
196,,speckandtech@gmail.com,https://speckand.tech/ ,,,cp_6267612521
197,,mail@socialtango.it,http://www.socialtango.it/ |www.socialtango.it,https://www.facebook.com/socialtangotrento,349.3608566,cp_7496832542
198,,posta@erre-erre.net,http://www.erre-erre.net/ ,,,cp_5491080515
199,,associazionelamovida@gmail.com,http://www.lamovida.org/ ,https://www.facebook.com/lamovidatrento/ ,3476093260,cp_3379549980
200,,info@ccftrento.it,https://www.ccftrento.it/,https://www.facebook.com/centroculturafotograficatrento/ ,0461/994954,cp_7061721024
201,,avisdibasevillazzano@aviscomunaletrento.it ,https://www.avistrentino.org/ ,https://it-it.facebook.com/avistrentino/ ,3462137702,cp_9444105693
202,,info@acquacheballa.it,http://www.acquacheballa.it/ ,https://it-it.facebook.com/lacqua.cheballa ,338 8868249,cp_3831242292
203,,trento@psicosintesi.it,http://www.psicosintesi.it/ ,https://it-it.facebook.com/GruppoPsicosintesiTrento ,333 4583234,cp_7774363640
204,,info@arcobalenobasket.com,http://www.arcobalenobasket.com,,,cp_3061854570
205,,info@ccfortieveloci.tn.it,http://www.ccfortieveloci.tn.it,,,cp_3094115985
206,,segreteria@apdren.it,http://www.apdren.it,http://www.facebook.com/apdrentrento,3298355365,cp_2184749118
207,,info@buonconsiglionuoto.it,http://www.buonconsiglionuoto.it,,,cp_3777786910
208,,segreteria@aquilabasket.it,http://www.aquilabasket.it,,,cp_9073907606
209,,segreteria@scuderiatrentina.it    ,http://www.scuderiatrentina.it,,,cp_3000628852
210,,info@tedxtrento.com,http://tedxtrento.com/,https://facebook.com/TedxTrento/    ,328 1507278,cp_8408733206
211,,circolopensionatimattarello@gmail.com,,,0461 945880,cp_7395237661
212,,info@multiversoteatro.org,https://www.multiversoteatro.org/,https://it-it.facebook.com/multiversoteatro,328 8497693,cp_9970538527
213,,info@gtvonline.org,http://www.gtvonline.org,https://it-it.facebook.com/gruppotrentinovolontariato/,0461917395,cp_6006598882
214,0461392447,anctrento@gmail.com,,,0461392447,cp_8677601965
215,,,,https://www.facebook.com/HouseofBoxing ,3921321977,cp_2107254995
216,0461238445,lucillamay@gmail.com,www.barbarabertoldi.it/associazione-lucilla-may/,www.facebook.com/ass.lucillamay/, 3312913591,cp_1355861498
217,,info@corofilarmonicotrentino.it,http://www.corofilarmonicotrentino.it/,https://www.facebook.com/corofilarmonicotrentino/, 347 5308211,cp_8277422017
218,0461395763,info@fpt.tn.it,http://www.fpt.tn.it/,,0461930093,cp_7257672463
219,,ass.cucitoericamo@gmail.com,,https://www.facebook.com/bona.piras,3397104901,cp_7264309351
220,,cam@trentinomozambico.org,https://www.trentinomozambico.org/ ,https://www.facebook.com/camtrentinomozambico/ ,0461232401,cp_4906860944
221,,bancatempoetico@gmail.com,http://www.banchetempo.tn.it/,,3397935708,cp_6486414699
222,,relazioni.alanon.tnaa@gmail.com,http://www.al-anon.it,,800 087 897 (per avere contatti locali),cp_4512288486
223,,circoloanzianisandona@gmail.com,,,0461986707,cp_3818855152
224,,artedo.trento@alternart.it,http://www.alternart.it,https://www.facebook.com/artedotrento/,348 5303690,cp_5343415890
225,,info@ki-bo.it,https://www.ki-bo.it/ ,,,cp_3591989774
226,,il_gruppo_roncafort@yahoo.it,http://www.ilgrupporoncafort.org/ ,https://www.facebook.com/groups/396494783852905 ,339 7242285,cp_3920659994
227,,info@coroalpinotrentino.it,https://www.coroalpinotrentino.it/ ,https://it-it.facebook.com/coroalpinotrentino ,339 4376230,cp_3508088193
228,,,http://www.rarinantes.it,,,cp_3463253848
229,,asdbudonomichi@gmail.com,,https://www.facebook.com/kickboxing.yoseikanbudo,3515221532,cp_6845525526
230,04611975204,ildiapason@ildiapason.com,https://ildiapason.com/contatti/,,04611975204,cp_9533854404
231,,gadtrento@tiscali.it,http://www.gadtrento.it/,https://www.facebook.com/gadcittaditrento/ ,3205398991,cp_9513236619
232,3284760124 ,acdait@yahoo.it  ,https://acdait-teuta.it/,https://it-it.facebook.com/acdait.teuta ,3284760124 ,cp_3881631052
233,,agedotrentino@gmail.com,,https://www.facebook.com/agedotrentino ,,cp_1370469037
234,0461826758 ,info@federcircoli.it,https://www.federcircoli.it/,https://www.facebook.com/federazione.trento,0461826758 ,cp_5258247769
235,,avis.trento@avis.it,https://www.avistrentino.org/,https://m.facebook.com/avistrentino/?locale2=it_IT,0461916173,cp_4347927815
236,0461/237458,anteas@cisltn.it,,,0461/215186,cp_8102543418
237,,info@famiglietrentine.org,http://www.famiglietrentine.org,https://it-it.facebook.com/groups/192761486486/,0461/237234,cp_4088465285
238,,copagmattarello@gmail.com,www.santianzoi.it,https://www.facebook.com/SantiAnzoi,,cp_8250403446
239,,trento@aia-figc.it,https://www.aiatrento.it/,,0461911261,cp_1456173997
240,,gruppoalpini.cognola@gmail.com,,,3407538441,cp_8628783730
241,,info@arcigaytrento.it,https://www.arcigaydeltrentino.it/|www.arcigaydeltrentino.it,https://www.facebook.com/arcigaytrentino|www.facebook.com/arcigaytrentino,345 9834179,cp_9118202460
242,,ass.trefontane@gmail.com,http://www.trefontane.tn.it/,https://www.facebook.com/Associazione-Tre-Fontane-Giocastudiamo-883329278450280/,340 4128807,cp_5629025015
243,,acropolitrento@gmail.com,https://www.acropolitrento.com,"['https://www.instagram.com/acropolitrento/', 'https://www.facebook.com/Acropolitrento']",+393407716783,cp_7937678849
244,,,https://www.aiesec.it,,+393495126105,cp_8893307508
245,,trento@esn.it,https://trento.esn.it,['https://www.facebook.com/groups/2054507961289050/?fref=nf'],+390461882248,cp_4698781345
246,,info@jetn.it,https://www.jetn.it,"['https://www.facebook.com/jetn7/', 'https://www.instagram.com/jetn_trento/', 'https://www.linkedin.com/company/jetn/']",,cp_8496098814
247,,redattore@luniversitario.it,https://www.luniversitario.it,"['https://www.instagram.com/luniversitario/', 'https://www.facebook.com/luniversitario', 'https://www.youtube.com/channel/UC-IGIS0eferm8nP3_ghlAlw']",,cp_9588942962
248,,udu.trento@gmail.com,https://www.udutrento.it,"['https://www.facebook.com/udutrento/', 'https://www.instagram.com/udutrento/']",+393406228305,cp_8076920069
249,,unitinews@gmail.com,https://www.unitintrento.it,"['https://www.facebook.com/unitintrento/', 'https://www.instagram.com/unitintrento/?hl=it']",,cp_3515041189
250,80003990225,sat.trento@gmail.com,http://www.sattrento.it,"['https://www.facebook.com/satcentrale/?ref=bookmarks', 'https://www.instagram.com/sat_centrale/', 'https://www.youtube.com/channel/UCyOXYnF9dBk_7MrvzjYnR-w']",0461 987025,cp_4434518672
