,has_organizationID,has_name,has_description,has_addr:street,has_addr:housenumber,has_addr:postcode,has_municipality,has_fax,has_phone,has_email,has_website,has_socialNetwork,has_organizationType,has_category,has_hashtag,has_administrator,has_administratorRole,has_logo,has_foundationYear,has_administratorPhone,has_administratorAddress,has_fiscalCode
10,org_23014,AGI - Associazione giglio d'Iside,"Servizio di volontariato, consulenze sull’allattamento, promozione dell’alto contatto e del portare i bambini in fascia. Gruppi di confronto, sostegno al lutto perinatale, massaggio infantile shantala",,,38023,Trento,,340-6936591,info@gigliodiside.org,,,,"Scienza e tecnologie
Medicina, salute e benessere
Volontariato e solidarietà
Assistenza",parto;neonato;,,,/var/comunetn/storage/images/citta/servizi/associazioni/agi-associazione-giglio-d-iside/8698786-1-ita-IT/AGI-Associazione-giglio-d-Iside.png,2014,,,
11,org_426,Bocciofila Trento Sud,"Il bocciodromo è aperto da lunedì a venerdì 14 - 23; sabato, domenica e festivi 7.30 - 23",Via Fermi,,38123,Trento,,,,http://gruppoanatnsud.altervista.org/Bocciofila/Direttivo/direttivo.html,,,"Sport
Bocce",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/bocciofila-trento-sud2/7863183-4-ita-IT/Bocciofila-Trento-Sud.png,2008,,,
12,org_684,Circolo Tennis Calisio,"Il Circolo Tennis Calisio nasce nel 1979 con l'intento di promuovere il gioco del tennis. Centro tecnico federale: minitennis e perfezionamento.L'attività dell'Associazione si svolge annualmente da settembre a giugno ed è rivolta alla fascia d'età 4-18 anni. Nel periodo estivo, da metà giugno fino a metà luglio, l'Associazione organizza dei campus rivolti a bambini e ragazzi dai 4 ai 16 anni.L'Associazione ha ottenuto ottimi risultati sportivi : campioni provinciali under 14 maschile nel 2011, campioni provinciali under 18 maschile nel 2012 e campioni under 14 femminile nel 2013.",Via Pradiscola,,38121,Trento,,,,http://www.ctcalisio.it,,,"Sport
Tennis e tennis tavolo",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/circolo-tennis-calisio2/7863210-2-ita-IT/Circolo-Tennis-Calisio.png,1979,,,
13,org_685,Circolo Tennis Trento - Scuola Federale di Tennis,,Piazza Venezia,,38122,Trento,,,,,,,"Sport
Tennis e tennis tavolo",,,,,2008,,,
14,org_2046,Tiro a Segno Nazionale,"Poligono presso il Centro Sportivo di Trento Nord (10 metri ad aria compressa).Poligono a Cadine, loc. Soraval (25 e 50 metri a fuoco), telefono 0461/990149.Orario poligono a fuoco: da aprile a ottobre giovedì 12.30 - 16.30; sabato e domenica 13.30- 16.30Orario poligono ad aria compressa: giovedì 20.30 - 22.30",,,38123,Trento,,,,http://www.tsntrento.it,,,"Sport
Tiro a segno",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/tiro-a-segno-nazionale2/7863264-2-ita-IT/Tiro-a-Segno-Nazionale.png,2008,,,
15,org_2146,Unione Sportiva Sardagna - Associazione sportiva dilettantistica,"L'Unione Sportiva Sardagna fu fondata nel 1952 da alcuni ragazzi del paese appassionati di calcio che disputavano le partite con le squadre dei paesi limitrofi (Sopramonte, Tridentina ecc.). Dal 1 luglio 1973 questa associazione sportiva è affiliata alla F.I.G.C. Nel 1976 e nel 1992 l'U.S.Sardagna ha conquistato la promozione dalla terza alla seconda categoria. Attualmente l'attività sportiva è rivolta al settore giovanile e al calcio a 7 e a 11 amatoriale.",Via della Molinara,,38123,Trento,,,flavio6023@alice.it,,,,"Sport
Calcio",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/unione-sportiva-sardagna-associazione-sportiva-dilettantistica2/7854037-5-ita-IT/Unione-Sportiva-Sardagna-Associazione-sportiva-dilettantistica.png,1952,,,
16,org_370,"ATA Battisti - Associazione Trentina Atletica ""Cesare Battisti""","La polisportiva ha le sezione di Volley, Sci, Tennis e Atletica.",Via Fersina,,38123,Trento,,,,http://www.atatrento.it,,,"Sport
Atletica leggera
Discipline alpine
Pallavolo
Tennis e tennis tavolo",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/ata-battisti-associazione-trentina-atletica-cesare-battisti2/7851749-2-ita-IT/ATA-Battisti-Associazione-Trentina-Atletica-Cesare-Battisti.jpg,2008,,,
17,org_653,Circolo Ippico La Roccia,"Il Circolo Ippico dispone di maneggio coperto e propone corsi di equitazione, cross-country,salto ostacoli, giochi e attività ricreative. L'equitazione è rivolta anche a bambini e ragazzi.Il cross-country è uno sport equestre olimpico, che consiste in una prova di velocità su terreno vario, e nel superamento di vari tipi di ostacoli fissi. Gli ostacoli che si incontrano durante il percorso riproducono ostacoli che si potrebbero trovare in natura.Il salto ostacoli è la specialità principe dell'equitazione. Nel nostro paese è la più diffusa e praticata e quella che vanta le maggiori tradizioni. I concorrenti debbono affrontare, all'interno di un campo di gara circoscritto un percorso composto da ostacoli mobili costruiti in legno e composti da vari elementi come barriere, tavole, cancelli e balustre.L'attività sportiva si svolge durante tutto l'anno presso il Centro La Roccia ed è rivolta ad una fascia d'età a partire dai 4 anni (corsi pony) in poi.", Via Pianizza,,38123,Trento,,,,http://sites.google.com/site/scuolaequitazionelaroccia/,,,"Sport
Equitazione",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/circolo-ippico-la-roccia2/7851776-2-ita-IT/Circolo-Ippico-La-Roccia.jpg,2008,,,
18,org_1374,Gruppo Sportivo Canova - bocciofila,"Correva l'anno 1980 quando l'allora assessore ai lavori pubblici del Comune di Trento Giuseppe Agrimi sensibile alle richieste del sig. Albano Depaoli realizza nelle adiacenze della Chiesa di Canova un campo di bocce comunale per il passatempo degli appassionati di quest o bellissimo sport.E' questa la base di partenza, di incontro e di socializzazione che negli anni successivi ed in modo specifico l'anno 1983 porta alla concretizzazione e quindi alla nascita dell'attuale GRUPPO SPORTIVO CANOVA.Le persone che hanno dato vita al sodalizio sono state ALBINO DEPAOLI eletto nella prima assemblea Prsidente dl Gruppo Sportivo Canova, Danilo Bolognani, Renato Bassetti, Livio Tasin, Benito Ciola, Riccardo Tamanini, Angelo Gottardi, Vittorio Tasin, Silvio Ceranelli, Dario Pisoni, Alfonso Tasin, Lorenzo Dallapè, Angelo Celva, Bruno Celva, Renato Nicolodi, Albino Tasin, Enrico Cainelli, Guido Moncher, Vittorio Moncher.Gestisce il bocciodromo di Canova e di Villazzano Tre.Nel 1986 succede alla presidenza del sodalizio Renzo Giacometti ed Albino Depaolo vieni nominato Presidente Onorario della Società.E' in questo periodo, in cui la direzione della società, sempre compatta e attiva, prende i primi contatti con i responsabili politici Comunali e Circoscrizionali informandoli della necessità di disporre di una struttura sportiva moderna, visto il numero sempre più consistente di iscritti alla società.",Via della Canova,,38121,Trento,,,,http://www.gscanova.it,,,"Sport
Bocce",,,Presidente,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/gruppo-sportivo-canova-bocciofila2/7851803-4-ita-IT/Gruppo-Sportivo-Canova-bocciofila.png,1980,,,
19,org_1410,G.S. Argentario ASD,"L'Associazione risale al 1954, anno in cui fu fondata da Primo Campagnolo. Per molti anni è stata presieduta da Bruno Pedrotti che ha sviluppato e ampliato tutto il centro sportivo. Da fine 2011 il presidente è Massimo Frizzi. L'Associazione presenta una scuola di tennis federale diretta da un maestro federale assistito sia da un istruttore di primo grado federale che da un preparatore fisico federale ed è riconosciuta dalla F.I.T. quale ""Standard School"" (3 stelle). A livello agonistico, la prima squadra di tennis ha ottenuto la promozione in serie C nell'anno 2013.L'Associazione svolge anche attività agonistica di squash con alcuni atleti che partecipano ai tornei del circuito CSAIn Associazione Sportiva Squash Italia.", Via Ponte Alto,,38121,Trento,,,,http://www.cognola.it,,,"Sport
Tennis e tennis tavolo",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/g.s.-argentario-asd/7851830-2-ita-IT/G.S.-Argentario-ASD.png,1954,,,
20,org_1581,LAV - Lega Anti Vivisezione,"La sede ospita uno sportello informativo,  una biblioteca ed un negozio a tema.",Via del Suffragio,,38122,Trento,,,lav.trentino@lav.it,http://www.lav.it/sedi/trentino,,,Ambiente e territorio,,,,/var/comunetn/storage/images/citta/vivi-la-citta/associazioni/lav-lega-anti-vivisezione/7668947-4-ita-IT/LAV-Lega-Anti-Vivisezione.jpg,2008,,,
21,org_2486,Sci Club Marzola A.S.D.,"Sci Club Marzola A.S.D. è una società sportiva fondata nel 1965 da un gruppo di appassionati dello sci di fondo. Negli anni ha avuto riconoscimenti dalla varie federazioni a cui è affiliata e numerosi atleti hanno fatto parte delle rappresentative sia Provinciali che Nazionali. Attualmente ci occupiamo di promuovere lo sci di fondo a livello giovanile con corsi per bambini in età scolare e ragazzi fino alle scuole superiori con ottimi risultati. L'attività viene svolta da allenatori federali ed inizia con preparazione atletica e prosegue poi sulle piste da sci, con la partecipazione a gare sia regionali che nazionali. Alcuni atleti sono entrati a far parte della rappresentativa provinciale FISI e a squadre di corpi Militari.Oltre allo Sci di fondo ci occupiamo di presciistica e orienteering.",Via Don Tommaso Dallafior,,38123,Trento,,,,http://www.gsmarzola.it,,,"Sport
Discipline alpine",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/sci-club-marzola-a.s.d/7790805-4-ita-IT/Sci-Club-Marzola-A.S.D.png,1965,,,
22,org_99046,Il Melograno Centro Informazione Maternità e Nascita,"Il Melograno Centro Informazione Maternità e Crescita è un'Associazione Nazionale presente a Trento dal 2008. Si offre come punto di riferimento culturale proponendo percorsi di accompagnamento alla nascita, corsi di massaggio infantile, consulenza a sostegno dell'allattamento materno, cicli di incontri per padri, percorsi di psicomotricità, attività ed eventi che promuovono la diffusione del Metodo Montessori, seminari per genitori ed educatori su temi legati all'educazione.",,,38122,Trento,,340 4861156,melograno.trento@gmail.com,,,,"Scienze sociali
Formazione ed educazione","famiglia,genitori,famiglie",,,/var/comunetn/storage/images/aree-tematiche/politiche-sociali-e-abitative/famiglia-e-minori/associazioni/il-melograno-centro-informazione-maternita-e-nascita/8465224-2-ita-IT/Il-Melograno-Centro-Informazione-Maternita-e-Nascita.jpg,2008,,,
23,org_46800,Swing Dance Trento,"Promozione della cultura e del ballo swing nella provincia di Trento attraverso corsi di ballo, workshop, ed eventi a tema",,,38123,Trento,,3388258307 ,info@swingdancetrento.it,http://swingdancetrento.it/,https://www.facebook.com/swingdancetn/,,"Danza
Moderna",,,,/var/comunetn/storage/images/citta/servizi/associazioni/swing-dance-trento/8408138-2-ita-IT/Swing-Dance-Trento.png,2014,,,
24,org_90970,Docenti senza Frontiere,"DSF è un’associazione attiva nel campo dell’educazione, che si propone di sostenere il cambiamento sociale attraverso la difesa del diritto all’istruzione. Formata da docenti che hanno condiviso e attuato all’interno delle proprie scuole percorsi di educazione alla cittadinanza e progetti di solidarietà, ne sostiene l’integrazione nei curricoli disciplinari per promuovere competenze di educazione mondiale nella consapevolezza della loro incisività educativa",,,38123,Trento,0461 945376,0461 945376,amministrazione@docentisenzafrontiere.org,,,,Volontariato e solidarietà,"docenti,frontiere",,,/var/comunetn/storage/images/ulteriori-sezioni/area-riservata/associazioni-urp/associazioni/docenti-senza-frontiere/8425859-2-ita-IT/Docenti-senza-Frontiere.png,2014,,,
25,org_57855,Associazione Microfinanza e Sviluppo onlus,"Associazione Microfinanza e Sviluppo onlus, nata nel 2002 a Trento, promuove progetti di microcredito e di sostegno a percorsi di autonomia economica verso persone in condizioni di vulnerabilità ed escluse dal sistema finanziario tradizionale (giovani, migranti, rifugiati, persone sovraindebitate ecc.) a livello nazionale e internazionale. Promuove inoltre iniziative di informazione, formazione e ricerca sui temi della microfinanza e dello sviluppo sostenibile.",,,38121,Trento,0444 326792,0444 326792,associazione@microfinanza.it,,,,"Volontariato e solidarietà
Assistenza
Cooperazione",,,,/var/comunetn/storage/images/citta/servizi/associazioni/associazione-microfinanza-e-sviluppo-onlus/8416816-1-ita-IT/Associazione-Microfinanza-e-Sviluppo-onlus.jpg,2002,,,
26,org_58742,Fondazione E. Salvadori-Zanatta,"Fondazione Salvadori Zanatta: luogo per intraprendere e sviluppare stabilmente attività socioculturali. La Villa, con il giardino,  è accessibile al pubblico e serve come spazio per mostre,  matrimoni e  convegni aziendali, mentre l'Orto in Villa è un orto-giardino biologico con finalità produttive, didattiche e turistiche. Da contattare proloco.ca.comunemail.com e 						
					                events@fondazionesalvadorizanatta.it
    
.",,,38121,Trento,0471/1968479,,info@fondazionesalvadorizanatta.it,,,,"Intrattenimento - tempo libero
Volontariato e solidarietà",,,,/var/comunetn/storage/images/citta/servizi/associazioni/fondazione-e.-salvadori-zanatta/8405935-1-ita-IT/Fondazione-E.-Salvadori-Zanatta.jpg,2014,,,
27,org_50751,"Associazione Alcolisti Anonimi Gruppo ""Trento""",Le riunioni si tengono al martedì e al venerdì alle ore 20.30 (in questo orario risponde anche il telefono),,,38121,Trento,,334 3175506,alcolistianonimitrento@gmail.com,,,,"Volontariato e solidarietà
Assistenza",alcol,,,/var/comunetn/storage/images/citta/servizi/associazioni/associazione-alcolisti-anonimi-gruppo-trento/8449790-2-ita-IT/Associazione-Alcolisti-Anonimi-Gruppo-Trento.jpg,2014,,,
28,org_2139,USD Gardolo,"L'Associazione Sportiva Dilettantistica è stata fondata nel 1954, affiliata a F.I.G.C. e C.O.N.I. Nel corso degli anni i presidenti e dirigenti che si sono susseguiti hanno sempre cercato di essere un punto di riferimento per tutti i ragazzi del sobborgo e non. L'associazione ha cercato di insegnare alle varie generazioni la lealtà e la correttezza sportiva e di vita. Attualmente ci sono circa 200 tesserati dai 6 anni in su che militano in tutte le categorie di calcio. La società è affiliata alla Scuola Calcio Chievo Verona.",Via 25 Aprile,,38121,Trento,,,,http://www.gardolocalcio.it,,,"Sport
Calcio",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/usd-gardolo2/7987090-4-ita-IT/USD-Gardolo.png,1954,,,
29,org_2218,A.S.D. Arca di Noè,"L'associazione ARCA DI NOE' nasce nel gennaio del 2007 dalle idee e dalle riflessioni di un gruppo di ragazzi con professionalità e competenze diverse che insieme cercheranno di rispondere con iniziative concrete, realizzate con il coinvolgimento attivo delle risorse del territorio, (famiglie, gruppi di volontariato, associazioni, servizi) ai bisogni delle famiglie intese non solo come utenti, ma soprattutto come partecipanti attivi nella realizzazione di iniziative e progetti di loro interesse e per il tempo libero. Tali finalità vengono perseguite dall'associazione attraverso l'attività sportiva in generale, che perciò diventa anche attività educativa e di formazione. L' Associazione non ha fini di lucro e ha per finalità lo sviluppo, la diffusione e l'organizzazione di attività sportiva dilettantistica mediante la gestione di ogni forma di attività agonistica, ricreativa o di ogni altro tipo di attività motoria e non, soprattutto rivolta ai bisogni delle famiglie intese non solo come utenti ma come partecipanti attivi nella realizzazione di iniziative e progetti di loro interesse e per il tempo libero.Infine l'associazione si occuperà di realizzare attività di tipo divulgativo e informativo in materia sportiva dilettantistica quali a titolo meramente esemplificativo, pubblicazioni, convegni, seminari e corsi di formazione.", Via Madruzzo,31,38122,Trento,,,,http://www.arcadinoetn.it,,,Sport,,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/a.s.d.-arca-di-noe2/7957829-3-ita-IT/A.S.D.-Arca-di-Noe.png,2007,,,
30,org_2499,ACSD Le tre distanze,"L' ACSD Le 3 distanze è nata per proporre la conoscenza e la pratica di alcune affascinanti discipline (Viet Tai Chi, Viet Vo Dao, Shiatsu) e divertenti attività (Danze socilai dell'800), combinando alcuni interessi e passioni che hanno origine da molti anni di pratica ed esperienza di insegnamento. I corsi VTC sono annuali e aperti alla pratica libera o a quella mirata al raggiungimento del grado; i corsi di VVD sono pure annuali, mentre lo Shiatsu viene praticato a seconda delle richieste. Le Danze Sociali vedono incontri settimanali che si aprono poi ad eventi vari come Gran Balli, feste e Té danzanti.IL VTC nasce in Vietnam molti secoli orsono, per essere una ginnastica della buona salute, dolce ed armoniosa, accessibile a tutti ed a tutti i livelli di capacità fisiche. Con la pratica diventa un tipo di meditazione, che permette allo spirito di rigenerarsi e che si presenta spontaneamente, senza uno sforzo cosciente e faticoso, ma leggero e consono all'indole di ogni persona. Le Danze Sociali dell'800 sono un momento sociale e divertente ed insieme rigoroso nelle sue coreografie fantasiose ed impeccabili. Lo Shiatsu è un tipo di massaggio orientale efficace e potente .Le attività si svolgono annualmente da ottobre a maggio presso l'Istituto Tambosi di Trento e nei mesi estivi, da giugno a settembre, nei parchi pubblici presenti sul territorio.", Via Caio Valerio Mariano,4,38122,Trento,,,,http://www.letredistanze.it,,,"Sport
Arti marziali",,,,/var/comunetn/storage/images/aree-tematiche/sport/associazioni/acsd-le-tre-distanze/7957856-2-ita-IT/ACSD-Le-tre-distanze.png,2014,,,
31,org_2398,Pallacanestro Villazzano A.D.,"
L’associazione dilettantistica Pallacanestro Villazzano, nata nel 1985 dall’iniziativa di alcuni
appassionati della pallacanestro seniores, si è dedicata con sempre maggior impegno allo sviluppo del
settore giovanile e minibasket, coinvolgendo inizialmente i ragazzi della collina di Trento e diventando nelcorso degli anni un punto di riferimento per l’intero movimento cestistico cittadino.
L’ambito giovanile ha ricevuto una grossa spinta a partire dal 1995 e rappresenta l’attività principale
dell’associazione, sia sotto il profilo tecnico organizzativo che economico. Lo sforzo profuso per avviare allosport i bambini ha portato grandi soddisfazioni dal punto di vista della crescita del movimento
La Pallacanestro Villazzano svolge la propria attività principale presso la palestra delle Scuole medie “Pascoli”
di Gabbiolo, dove le porte sono sempre aperte per tutti coloro che vogliono praticare questo bellissimosport.", Via 4 Novembre (1918),,38123,Trento,,,,http://www.pallacanestrovillazzano.it,,,"Sport
Pallacanestro",,,,/var/comunetn/storage/images/ulteriori-sezioni/area-riservata/associazioni-urp/associazioni/pallacanestro-villazzano-a.d/8032025-2-ita-IT/Pallacanestro-Villazzano-A.D.jpg,1985,,,
