remoteId,published,modified,Nome,"Abstract (descrizione in breve)",Indirizzo,Presso,CAP,Località,Telefono,"Telefono alternativo",Fax,"Casella postale",E-mail,"Sito WEB","Pagina Facebook",Categoria,Circoscrizione,Materia,Argomento,Contatti,Referente,"Ruolo del referente",lat,lon,address,"Indirizzo del referente","Telefono del referente","Fax del referente",Scheda,Immagine,Codice,"Data di inizio validità","Data di archiviazione","Parola chiave","Codice Fiscale","Partita IVA"
associazione-1730,2008-01-01T00:00:00+01:00,2018-10-22T13:57:49+02:00,"Unione scacchistica trentina, A.S.D.P.S.",,,,38121,Trento,,,,,,,,,"Circoscrizione n. 06 - Argentario","Sport
Scacchi e dama",,,,,0,0,,,"328 4480649",,"L'A.S.D.P.S.  Unione scacchistica trentina conta la metà dei tesserati trentini alla Fisi: é riconosciuta dal 2005 come scuola di scacchi dalla FSI.Organizza campionati provinciali per under 16 e per adulti, con possibilità di corsi di scacchi per gli interessati.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/unione-scacchistica-trentina-a.s.d.p.s/8134505-3-ita-IT/UNIONE-SCACCHISTICA-TRENTINA-A.S.D.P.S.jpg,1730,2008-01-01T00:00:00+01:00,,,,
c97828f6780027dcb6a243215dd3276e,2014-11-17T00:00:00+01:00,2014-11-17T10:28:12+01:00,"AGI - Associazione giglio d'Iside",,"Via della Ceriola, 4",,38023,Trento,340-6936591,,,,info@gigliodiside.org,,,,,"Scienza e tecnologie
Medicina, salute e benessere
Volontariato e solidarietà
Assistenza",," 						
					                www.facebook.com/gigliodiside
    
twitter: @gigliodiside",,,0,0,,,,,"Servizio di volontariato, consulenze sull’allattamento, promozione dell’alto contatto e del portare i bambini in fascia. Gruppi di confronto, sostegno al lutto perinatale, massaggio infantile shantala",/var/comunetn/storage/images/citta/servizi/associazioni/agi-associazione-giglio-d-iside/8698786-1-ita-IT/AGI-Associazione-giglio-d-Iside.png,,2014-11-17T00:00:00+01:00,2050-12-31T00:00:00+01:00,parto;neonato;,,
associazione-426,2008-01-01T00:00:00+01:00,2018-10-22T11:28:27+02:00,"Bocciofila Trento Sud",,"VIA E. FERMI 35",,38123,Trento,,,,,,http://gruppoanatnsud.altervista.org/Bocciofila/Direttivo/direttivo.html,,,"Circoscrizione n. 10 - Oltrefersina","Sport
Bocce",,,,,46.048443,11.128846,"Via Fermi, Man Malpensada, San Bartolameo, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38123, Italia",,,,"Il bocciodromo è aperto da lunedì a venerdì 14 - 23; sabato, domenica e festivi 7.30 - 23",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/bocciofila-trento-sud2/7863183-4-ita-IT/Bocciofila-Trento-Sud.png,426,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-684,2008-01-01T00:00:00+01:00,2018-10-22T11:33:04+02:00,"Circolo Tennis Calisio",,"VIA PRADISCOLA 20",,38121,Trento,,,,,,http://www.ctcalisio.it,,,"Circoscrizione n. 06 - Argentario","Sport
Tennis e tennis tavolo",,,,,46.083109,11.136062,"Via Pradiscola, Pinara, Zell, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38121, Italia",,,,"Il Circolo Tennis Calisio nasce nel 1979 con l'intento di promuovere il gioco del tennis. Centro tecnico federale: minitennis e perfezionamento.L'attività dell'Associazione si svolge annualmente da settembre a giugno ed è rivolta alla fascia d'età 4-18 anni. Nel periodo estivo, da metà giugno fino a metà luglio, l'Associazione organizza dei campus rivolti a bambini e ragazzi dai 4 ai 16 anni.L'Associazione ha ottenuto ottimi risultati sportivi : campioni provinciali under 14 maschile nel 2011, campioni provinciali under 18 maschile nel 2012 e campioni under 14 femminile nel 2013.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/circolo-tennis-calisio2/7863210-2-ita-IT/Circolo-Tennis-Calisio.png,684,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-685,2008-01-01T00:00:00+01:00,2018-10-22T11:35:42+02:00,"Circolo Tennis Trento - Scuola Federale di Tennis",,"PIAZZA VENEZIA ",,38122,Trento,,,,,,,,,"Circoscrizione n. 12 - Centro storico - Piedicastello","Sport
Tennis e tennis tavolo",,,,,46.067649,11.126824,"Piazza Venezia, Centro storico Trento, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38122, Italia",,,,,,685,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-2046,2008-01-01T00:00:00+01:00,2018-10-22T13:46:28+02:00,"Tiro a Segno Nazionale",,"STRADA DI SORAVAL, 9",,38123,Trento,,,,101,,http://www.tsntrento.it,,,"Circoscrizione n. 03 - Bondone","Sport
Tiro a segno",,,,,46.082352,11.0714,"Strada di Soraval, Sardagna, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 66, Italia",,,,"Poligono presso il Centro Sportivo di Trento Nord (10 metri ad aria compressa).Poligono a Cadine, loc. Soraval (25 e 50 metri a fuoco), telefono 0461/990149.Orario poligono a fuoco: da aprile a ottobre giovedì 12.30 - 16.30; sabato e domenica 13.30- 16.30Orario poligono ad aria compressa: giovedì 20.30 - 22.30",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/tiro-a-segno-nazionale2/7863264-2-ita-IT/Tiro-a-Segno-Nazionale.png,2046,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-1392,2008-01-01T00:00:00+01:00,2018-10-22T09:49:34+02:00,"ASD Gruppo Sportivo Trilacum",,"STRADA DI SO CA 10",,38123,"Vigolo Baselga",,,,,,http://www.gstrilacum.it,,,"Circoscrizione n. 03 - Bondone","Sport
Atletica leggera
Calcio",,,,,46.083054,11.045328,"Strada di So Ca&#039;, Sant&#039;Anna, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, Italia",,,,"Il Gruppo Sportivo Trilacum è una polisportiva fondata nel 1974 a Vigolo Baselga Frazione di Trento. L'attività sviluppata nei 40 anni di attività ha riguardato principalmente le discipline dell'atletica leggere e calcio. Dal 1978 il sodalizio ha curato direttamente la realizzazione del Centro Sportivo Trilacum. Nella disciplina del calcio svolge attività di base, e dilettantistica sia con il calcio ad 11 che con il calcio a5. Nel corso degli anni ha vinto vari campionati specie con il settore giovanile che ha espresso giocatori tesserati anche per società professionistiche. Nella disciplina dell'atletica leggera da sempre primeggia in provincia per l'attività giovanile, in campo assoluto vari atleti hanno conquistato titoli italiani, indossando la maglia della nazionale.L'attività del calcio è rivolta ad una fascia d'età tra 5 e 40 anni e si svolge nel periodo tra settembre e giugno. L'atletica leggera si svolge durante tutto l'anno ed è rivolta ad una fascia d'età a partire dai 5 anni in poi.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/asd-gruppo-sportivo-trilacum/7853146-6-ita-IT/ASD-Gruppo-Sportivo-Trilacum.jpg,1392,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-2146,2008-01-01T00:00:00+01:00,2018-10-22T14:00:18+02:00,"Unione Sportiva Sardagna - Associazione sportiva dilettantistica",,"VIA DELLA MOLINARA 5","Rampanelli Flavio",38123,Trento,,,,,flavio6023@alice.it,,,,"Circoscrizione n. 04 - Sardagna","Sport
Calcio",Sport,,,,46.065799,11.096364,"Via della Molinara, Sardagna, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 66, Italia",,,,"L'Unione Sportiva Sardagna fu fondata nel 1952 da alcuni ragazzi del paese appassionati di calcio che disputavano le partite con le squadre dei paesi limitrofi (Sopramonte, Tridentina ecc.). Dal 1 luglio 1973 questa associazione sportiva è affiliata alla F.I.G.C. Nel 1976 e nel 1992 l'U.S.Sardagna ha conquistato la promozione dalla terza alla seconda categoria. Attualmente l'attività sportiva è rivolta al settore giovanile e al calcio a 7 e a 11 amatoriale.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/unione-sportiva-sardagna-associazione-sportiva-dilettantistica2/7854037-5-ita-IT/Unione-Sportiva-Sardagna-Associazione-sportiva-dilettantistica.png,2146,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-370,2008-01-01T00:00:00+01:00,2018-10-22T11:25:43+02:00,"ATA Battisti - Associazione Trentina Atletica ""Cesare Battisti""",,"VIA FERSINA 21",,38123,Trento,,,,,,http://www.atatrento.it,,,"Circoscrizione n. 10 - Oltrefersina","Sport
Atletica leggera
Discipline alpine
Pallavolo
Tennis e tennis tavolo",,,,,46.046861,11.123864,"Via Fersina, Man Malpensada, Clarina, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38123, Italia",,,,"La polisportiva ha le sezione di Volley, Sci, Tennis e Atletica.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/ata-battisti-associazione-trentina-atletica-cesare-battisti2/7851749-2-ita-IT/ATA-Battisti-Associazione-Trentina-Atletica-Cesare-Battisti.jpg,370,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-653,2008-01-01T00:00:00+01:00,2018-10-22T11:31:30+02:00,"Circolo Ippico La Roccia",,"VIA PIANIZZA 33",,38123,Trento,,,,,,http://sites.google.com/site/scuolaequitazionelaroccia/,,,"Circoscrizione n. 09 - Villazzano","Sport
Equitazione",,,,,46.017192,11.146441,"Circolo Ippico La Roccia, 33, Via Pianizza, Il Castell&eacute;r, Madonna Bianca, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38123, ",,,,"Il Circolo Ippico dispone di maneggio coperto e propone corsi di equitazione, cross-country,salto ostacoli, giochi e attività ricreative. L'equitazione è rivolta anche a bambini e ragazzi.Il cross-country è uno sport equestre olimpico, che consiste in una prova di velocità su terreno vario, e nel superamento di vari tipi di ostacoli fissi. Gli ostacoli che si incontrano durante il percorso riproducono ostacoli che si potrebbero trovare in natura.Il salto ostacoli è la specialità principe dell'equitazione. Nel nostro paese è la più diffusa e praticata e quella che vanta le maggiori tradizioni. I concorrenti debbono affrontare, all'interno di un campo di gara circoscritto un percorso composto da ostacoli mobili costruiti in legno e composti da vari elementi come barriere, tavole, cancelli e balustre.L'attività sportiva si svolge durante tutto l'anno presso il Centro La Roccia ed è rivolta ad una fascia d'età a partire dai 4 anni (corsi pony) in poi.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/circolo-ippico-la-roccia2/7851776-2-ita-IT/Circolo-Ippico-La-Roccia.jpg,653,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
associazione-1374,2008-01-01T00:00:00+01:00,2018-10-22T11:43:05+02:00,"Gruppo Sportivo Canova - bocciofila",,"VIA DELLA CANOVA 34",Bocciodromo,38121,Trento,,,,,,http://www.gscanova.it,,,"Circoscrizione n. 01 - Gardolo","Sport
Bocce",,,,Presidente,46.09835,11.111978,"Via della Canova, Piazzina, Canova, Trento, Territorio Val d&#039;Adige, TN, Trentino-Alto Adige, 38121, Italia",,,,"Correva l'anno 1980 quando l'allora assessore ai lavori pubblici del Comune di Trento Giuseppe Agrimi sensibile alle richieste del sig. Albano Depaoli realizza nelle adiacenze della Chiesa di Canova un campo di bocce comunale per il passatempo degli appassionati di quest o bellissimo sport.E' questa la base di partenza, di incontro e di socializzazione che negli anni successivi ed in modo specifico l'anno 1983 porta alla concretizzazione e quindi alla nascita dell'attuale GRUPPO SPORTIVO CANOVA.Le persone che hanno dato vita al sodalizio sono state ALBINO DEPAOLI eletto nella prima assemblea Prsidente dl Gruppo Sportivo Canova, Danilo Bolognani, Renato Bassetti, Livio Tasin, Benito Ciola, Riccardo Tamanini, Angelo Gottardi, Vittorio Tasin, Silvio Ceranelli, Dario Pisoni, Alfonso Tasin, Lorenzo Dallapè, Angelo Celva, Bruno Celva, Renato Nicolodi, Albino Tasin, Enrico Cainelli, Guido Moncher, Vittorio Moncher.Gestisce il bocciodromo di Canova e di Villazzano Tre.Nel 1986 succede alla presidenza del sodalizio Renzo Giacometti ed Albino Depaolo vieni nominato Presidente Onorario della Società.E' in questo periodo, in cui la direzione della società, sempre compatta e attiva, prende i primi contatti con i responsabili politici Comunali e Circoscrizionali informandoli della necessità di disporre di una struttura sportiva moderna, visto il numero sempre più consistente di iscritti alla società.",/var/comunetn/storage/images/aree-tematiche/sport/associazioni/gruppo-sportivo-canova-bocciofila2/7851803-4-ita-IT/Gruppo-Sportivo-Canova-bocciofila.png,1374,2008-01-01T00:00:00+01:00,2050-12-31T00:00:00+01:00,,,
