,ID,DESCRIZIONE ACCESSIBILITA' 1,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 1),VALORE STRINGA1 (ACCESSIBILITA' 1),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 1),VALORE NUMERO1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 1),VALORE DECIMALE1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 1),VALORE DECIMALE2 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 1),VALORE DECIMALE3 (ACCESSIBILITA' 1),DESCRIZIONE ACCESSIBILITA' 2,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 2),VALORE STRINGA1 (ACCESSIBILITA' 2),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 2),VALORE NUMERO1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 2),VALORE DECIMALE1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 2),VALORE DECIMALE2 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 2),VALORE DECIMALE3 (ACCESSIBILITA' 2),DESCRIZIONE ACCESSIBILITA' 3,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 3),VALORE STRINGA1 (ACCESSIBILITA' 3),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 3),VALORE NUMERO1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 3),VALORE DECIMALE1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 3),VALORE DECIMALE2 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 3),VALORE DECIMALE3 (ACCESSIBILITA' 3),DESCRIZIONE ACCESSIBILITA' 4,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 4),VALORE STRINGA1 (ACCESSIBILITA' 4),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 4),VALORE NUMERO1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 4),VALORE DECIMALE1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 4),VALORE DECIMALE2 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 4),VALORE DECIMALE3 (ACCESSIBILITA' 4),DESCRIZIONE ACCESSIBILITA' 5,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 5),VALORE STRINGA1 (ACCESSIBILITA' 5),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 5),VALORE NUMERO1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 5),VALORE DECIMALE1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 5),VALORE DECIMALE2 (ACCESSIBILITA' 5),DESCRIZIONE ACCESSIBILITA' 6,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 6),VALORE STRINGA1 (ACCESSIBILITA' 6),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 6),VALORE NUMERO1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 6),VALORE DECIMALE1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 6),VALORE DECIMALE2 (ACCESSIBILITA' 6),DESCRIZIONE ACCESSIBILITA' 7,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 7),VALORE STRINGA1 (ACCESSIBILITA' 7),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 7),VALORE NUMERO1 (ACCESSIBILITA' 7),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 7),VALORE DECIMALE1 (ACCESSIBILITA' 7),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 7),VALORE DECIMALE2 (ACCESSIBILITA' 7),DESCRIZIONE ACCESSIBILITA' 8,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 8),VALORE STRINGA1 (ACCESSIBILITA' 8),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 8),VALORE NUMERO1 (ACCESSIBILITA' 8),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 8),VALORE DECIMALE1 (ACCESSIBILITA' 8),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 8),VALORE DECIMALE2 (ACCESSIBILITA' 8),DESCRIZIONE ACCESSIBILITA' 9,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 9),VALORE STRINGA1 (ACCESSIBILITA' 9),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 9),VALORE NUMERO1 (ACCESSIBILITA' 9),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 9),VALORE DECIMALE1 (ACCESSIBILITA' 9),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 9),VALORE DECIMALE2 (ACCESSIBILITA' 9),DESCRIZIONE ACCESSIBILITA' 10,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 10),VALORE STRINGA1 (ACCESSIBILITA' 10),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 10),VALORE NUMERO1 (ACCESSIBILITA' 10),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 10),VALORE DECIMALE1 (ACCESSIBILITA' 10),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 10),VALORE DECIMALE2 (ACCESSIBILITA' 10),DESCRIZIONE ACCESSIBILITA' 11,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 11),VALORE STRINGA1 (ACCESSIBILITA' 11),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 11),VALORE NUMERO1 (ACCESSIBILITA' 11),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 11),VALORE DECIMALE1 (ACCESSIBILITA' 11),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 11),VALORE DECIMALE2 (ACCESSIBILITA' 11),DESCRIZIONE ACCESSIBILITA' 12,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 12),VALORE STRINGA1 (ACCESSIBILITA' 12),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 12),VALORE NUMERO1 (ACCESSIBILITA' 12),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 12),VALORE DECIMALE1 (ACCESSIBILITA' 12),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 12),VALORE DECIMALE2 (ACCESSIBILITA' 12),DESCRIZIONE ACCESSIBILITA' 13,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 13),VALORE STRINGA1 (ACCESSIBILITA' 13),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 13),VALORE NUMERO1 (ACCESSIBILITA' 13),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 13),VALORE DECIMALE1 (ACCESSIBILITA' 13),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 13),VALORE DECIMALE2 (ACCESSIBILITA' 13),DESCRIZIONE ACCESSIBILITA' 14,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 14),VALORE STRINGA1 (ACCESSIBILITA' 14),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 14),VALORE NUMERO1 (ACCESSIBILITA' 14),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 14),VALORE DECIMALE1 (ACCESSIBILITA' 14),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 14),VALORE DECIMALE2 (ACCESSIBILITA' 14),DESCRIZIONE ACCESSIBILITA' 15,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 15),VALORE STRINGA1 (ACCESSIBILITA' 15),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 15),VALORE DECIMALE1 (ACCESSIBILITA' 15),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 15),VALORE DECIMALE2 (ACCESSIBILITA' 15),DESCRIZIONE ACCESSIBILITA' 16,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 16),VALORE STRINGA1 (ACCESSIBILITA' 16),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 16),VALORE DECIMALE1 (ACCESSIBILITA' 16),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 16),VALORE DECIMALE2 (ACCESSIBILITA' 16),DESCRIZIONE ACCESSIBILITA' 17,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 17),VALORE STRINGA1 (ACCESSIBILITA' 17),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 17),VALORE DECIMALE1 (ACCESSIBILITA' 17),DESCRIZIONE ACCESSIBILITA' 18,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 18),VALORE STRINGA1 (ACCESSIBILITA' 18),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 18),VALORE DECIMALE1 (ACCESSIBILITA' 18)
105,802,Percorribilita interna - gradini,Esistenza [Si/No],Si,Numero gradini,21.0,Altezza da terra in cm.,17.8,,,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,96.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,115.0,Forza necessaria per aprirla in kg.,2.0,,,Camera da letto rilevata - caratteristiche,Tipo stanza [Singola/Doppia/Matrimoniale/Tripla/Quadrupla],Matrimoniale,Larghezza porta in cm,80.0,Altezza letti in cm.,53.0,Spazio laterale in cm,131.0,Spazio frontale in cm,152.0,Camera da letto rilevata,Esistenza [Si/No],Si,Numero camere,1.0,,,,,Bagno,Collocamento nella stanza [Interno/Esterno],Esterno,,,,,,,Bidet,Esistenza [Si/No],Si,Altezza in cm,43.0,,,,,Vasca,Esistenza [Si/No],Si,Altezza in cm.,57.0,,,,,Wc,Esistenza [Si/No],Si,Altezza in cm,43.0,,,,,Lavabo regolabile,Esistenza [Si/No],No,Altezza lavabo fisso in cm,78.0,,,,,Bagno - caratteristiche,,,Larghezza porta,70.0,Larghezza locale,246.0,Profondità locale,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,30,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,206.0,Profondità in cm.,137.0,Altezza wc in cm.,45.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,109.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,100.0,Forza necessaria per aprirla in kg.,2.0,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato opposto accostamento,,,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],No,,,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,,,Larghezza in cm.,71.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,,,Larghezza in cm.,90.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,107.0,Profondita in cm.,290.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA MANCI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,60.0,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,,,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,804,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,93.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,2.0,,,Camera da letto rilevata - caratteristiche,Tipo stanza [Singola/Doppia/Matrimoniale/Tripla/Quadrupla],Doppia,Larghezza porta in cm,78.0,Altezza letti in cm.,45.0,Spazio laterale in cm,105.0,Spazio frontale in cm,104.0,Camera da letto rilevata,Esistenza [Si/No],Si,Numero camere,1.0,,,,,,,Doccia - caratteristiche,,,Dislivello in cm.,15.0,Larghezza apertura box doccia cm.,37.0,Larghezza vano doccia cm.,0.0,Bagno,Collocamento nella stanza [Interno/Esterno],Interno,,,,,,,Wc,Esistenza [Si/No],Si,Altezza in cm,40.0,,,,,Lavabo regolabile,Esistenza [Si/No],Si,Altezza lavabo fisso in cm,83.0,,,,,Bagno - caratteristiche,,,Larghezza porta,78.0,Larghezza locale,145.0,Profondità locale,212.0,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Numero gradini,3.0,Altezza da terra in cm.,16.5,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,83,Servizi igienici - bagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,181.0,Profondità in cm.,180.0,Altezza wc in cm.,47.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,104.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,3.0,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA ALFIERI,Numero posti macchina riservati,2.0,Distanza dall'ingresso in metri,50.0,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,,,Larghezza in cm.,85.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,,,Larghezza in cm.,145.0,Profondita in cm.,622.0,Servizi igienici - bagno - lavabo fisso,,,,,Altezza lavabo,83.0,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,,,Larghezza in cm.,85.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,8.0,Lunghezza in cm.,485.0,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,265,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA POZZO,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,165,Sportello Bancomat,,,Altezza max sportello (cm),127.0,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA SAN PIETRO,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,30.0,,,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,8.0,Lunghezza in cm.,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,172,Sportello Bancomat,,,Altezza max sportello (cm),142.0,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA S. CROCE,Numero posti macchina riservati,2.0,Distanza dall'ingresso in metri,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,314,Sportello Bancomat,,,Altezza max sportello (cm),133.0,,,,,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,83.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,116.0,Forza necessaria per aprirla in kg.,2.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,Via Gocciadoro,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,47,Sportello Bancomat,,,Altezza max sportello (cm),111.0,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA MANTOVA,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,272,Sportello Bancomat,,,Altezza max sportello (cm),136.0,,,,,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,298.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno ed esterno,,,Altezza maniglia da terra in cm.,78.0,Forza necessaria per aprirla in kg.,4.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,PIAZZA DANTE,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,4.0,,,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,16.5,Lunghezza in cm.,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,169,Sportello Bancomat,,,Altezza max sportello (cm),135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,317,Sportello Bancomat,,,Altezza max sportello (cm),154.0,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA VITTORIO VENETO,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,327,Sportello Bancomat,,,Altezza max sportello (cm),154.0,,,,,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,0.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,Via S. Antonio,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,5.0,,,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,11.8,Lunghezza in cm.,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,156,Sportello Bancomat,,,Altezza max sportello (cm),139.0,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VICOLO SANTA MARGHERITA,Numero posti macchina riservati,2.0,Distanza dall'ingresso in metri,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,175,Sportello Bancomat,,,Altezza max sportello (cm),126.0,,,,,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,119.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Automatica scorrevole,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,0.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA S. CROCE,Numero posti macchina riservati,2.0,Distanza dall'ingresso in metri,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,187,Sportello Bancomat,,,Altezza max sportello (cm),131.0,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA PERINI,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,164,Sportello Bancomat,,,Altezza max sportello (cm),142.0,,,,,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,130.0,Distanza fra porta e controporta in cm.,230.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Automatica scorrevole,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,0.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA MANTOVA,Numero posti macchina riservati,1.0,Distanza dall'ingresso in metri,28.0,,,,,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Numero gradini,1.0,Altezza da terra in cm.,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,72,Sportello Bancomat,,,Altezza max sportello (cm),105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,589,Sportello Bancomat,,,Altezza max sportello (cm),146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,586,Sportello Bancomat,,,Altezza max sportello (cm),152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,538,Sportello Bancomat,,,Altezza max sportello (cm),135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,542,Sportello Bancomat,,,Altezza max sportello (cm),144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,613,Sportello Bancomat,,,Altezza max sportello (cm),132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,543,Sportello Bancomat,,,Altezza max sportello (cm),157.0,,,,,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,PIAZZA GENERALE CANTORE,Numero posti macchina riservati,3.0,Distanza dall'ingresso in metri,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
