,ID,DESCRIZIONE ACCESSIBILITA' 1,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 1),VALORE STRINGA1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 1),VALORE DECIMALE1 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 1),VALORE DECIMALE2 (ACCESSIBILITA' 1),DESCRIZIONE DECIMALE3 (ACCESSIBILITA' 1),VALORE DECIMALE3 (ACCESSIBILITA' 1),DESCRIZIONE ACCESSIBILITA' 2,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 2),VALORE STRINGA1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 2),VALORE DECIMALE1 (ACCESSIBILITA' 2),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 2),VALORE DECIMALE2 (ACCESSIBILITA' 2),DESCRIZIONE ACCESSIBILITA' 3,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 3),VALORE STRINGA1 (ACCESSIBILITA' 3),DESCRIZIONE NUMERO1 (ACCESSIBILITA' 3),VALORE NUMERO1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 3),VALORE DECIMALE1 (ACCESSIBILITA' 3),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 3),VALORE DECIMALE2 (ACCESSIBILITA' 3),DESCRIZIONE ACCESSIBILITA' 4,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 4),VALORE STRINGA1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 4),VALORE DECIMALE1 (ACCESSIBILITA' 4),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 4),VALORE DECIMALE2 (ACCESSIBILITA' 4),DESCRIZIONE ACCESSIBILITA' 5,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 5),VALORE STRINGA1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 5),VALORE DECIMALE1 (ACCESSIBILITA' 5),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 5),VALORE DECIMALE2 (ACCESSIBILITA' 5),DESCRIZIONE ACCESSIBILITA' 6,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 6),VALORE STRINGA1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 6),VALORE DECIMALE1 (ACCESSIBILITA' 6),DESCRIZIONE DECIMALE2 (ACCESSIBILITA' 6),VALORE DECIMALE2 (ACCESSIBILITA' 6),DESCRIZIONE ACCESSIBILITA' 7,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 7),VALORE STRINGA1 (ACCESSIBILITA' 7),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 7),VALORE DECIMALE1 (ACCESSIBILITA' 7),DESCRIZIONE ACCESSIBILITA' 8,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 8),VALORE STRINGA1 (ACCESSIBILITA' 8),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 8),VALORE DECIMALE1 (ACCESSIBILITA' 8),DESCRIZIONE ACCESSIBILITA' 9,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 9),VALORE STRINGA1 (ACCESSIBILITA' 9),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 9),VALORE DECIMALE1 (ACCESSIBILITA' 9),DESCRIZIONE ACCESSIBILITA' 10,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 10),VALORE STRINGA1 (ACCESSIBILITA' 10),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 10),VALORE DECIMALE1 (ACCESSIBILITA' 10),DESCRIZIONE ACCESSIBILITA' 11,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 11),VALORE STRINGA1 (ACCESSIBILITA' 11),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 11),VALORE DECIMALE1 (ACCESSIBILITA' 11),DESCRIZIONE ACCESSIBILITA' 12,DESCRIZIONE STRINGA1 (ACCESSIBILITA' 12),VALORE STRINGA1 (ACCESSIBILITA' 12),DESCRIZIONE DECIMALE1 (ACCESSIBILITA' 12),VALORE DECIMALE1 (ACCESSIBILITA' 12),DESCRIZIONE ACCESSIBILITA' 13,DESCRIZIONE ACCESSIBILITA' 14
10,854,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,150.0,Profondità in cm.,240.0,Altezza wc in cm.,47.0,Percorribilita interna  - ascensore - pulsantiera braille,Esistenza [Si/No],Si,,,,,Percorribilita interna - ascensore,Esistenza [Si/No],Si,,,Larghezza in cm.,110.0,Profondita in cm.,206.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,240.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,7.0,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato accostamento,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,90.0,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,CORSO BETTINI,Distanza dall'ingresso in metri,90.0,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],Si,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],Si,,,,
11,896,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,96.0,Distanza fra porta e controporta in cm.,0.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,12.0,Lunghezza in cm.,43.0,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Numero gradini,1.0,Altezza da terra in cm.,4.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,116.0,Forza necessaria per aprirla in kg.,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,857,Sportello Bancomat,,,,,,,,,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,85.0,Distanza fra porta e controporta in cm.,0.0,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,,,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,3.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,140.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,CORSO ROSMINI,Distanza dall'ingresso in metri,30.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,864,Sportello Bancomat,,,,,,,,,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,95.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso esterno,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,0.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,127.0,Distanza fra porta e controporta in cm.,0.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,CORSO BETTINI,Distanza dall'ingresso in metri,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,862,Sportello Bancomat,,,,,,,,,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale scorrevole,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,0.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,142.0,,,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,859,Sportello Bancomat,,,,,,,,,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,2.0,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,9.3,Lunghezza in cm.,85.0,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,852,Percorribilita interna - rampa/scivolo,Esistenza [Si/No],Si,Pendenza in percentuale,8.5,Lunghezza in cm.,200.0,,,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,140.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale scorrevole,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,0.0,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,135.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA G.M. DELLA CROCE,Distanza dall'ingresso in metri,60.0,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,863,Sportello Bancomat,,,,,,,,,Ingresso: campanello raggiungibile in sedia a rotelle,Esistenza [Si/No],Si,,,,,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,,,Altezza da terra in cm.,140.0,,,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,93.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,925,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,200.0,Profondità in cm.,164.5,Altezza wc in cm.,49.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,107.0,Forza necessaria per aprirla in kg.,1.0,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato accostamento,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,79.0,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,79.0,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,114.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,CORSO BETTINI,Distanza dall'ingresso in metri,40.0,,,,,,,
19,912,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,146.0,Profondità in cm.,114.0,Altezza wc in cm.,0.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,122.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,96.0,Forza necessaria per aprirla in kg.,1.0,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,60.0,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,60.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,147.0,Profondita in cm.,103.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,PIAZZA PODESTA',Distanza dall'ingresso in metri,15.0,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,78.0,,,,,,,,,,,,,,,,,,,,,,
20,922,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,257.0,Profondità in cm.,150.0,Altezza wc in cm.,47.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,94.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,102.0,Forza necessaria per aprirla in kg.,2.5,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,84.0,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,138.0,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],Si,,,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,79.0,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,84.5,,,,,,,
21,917,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,89.0,Profondità in cm.,247.0,Altezza wc in cm.,48.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,83.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,96.0,Forza necessaria per aprirla in kg.,1.0,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,68.0,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA ROSMINI,Distanza dall'ingresso in metri,70.0,,,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,934,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,197.0,Profondità in cm.,108.0,Altezza wc in cm.,0.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,100.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,2.0,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],No,,,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],No,,,,,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,17.2,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,70.5,,,,,,,,,,,,,,,,,,,,,,
23,936,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,200.0,Profondità in cm.,179.0,Altezza wc in cm.,48.5,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,99.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale scorrevole,,,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,0.0,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato opposto accostamento,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,Larghezza in cm.,71.6,,,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,85.0,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,200.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,CORSO BETTINI,Distanza dall'ingresso in metri,17.0,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,11.6,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,
24,940,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,235.0,Profondità in cm.,259.0,Altezza wc in cm.,48.0,Percorribilita interna - rampa/scivolo,Esistenza [Si/No],Si,Pendenza in percentuale,14.0,Lunghezza in cm.,300.0,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,85.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,92.0,Forza necessaria per aprirla in kg.,1.0,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,81.0,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,388.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA LUNGO LENO,Distanza dall'ingresso in metri,70.0,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Altezza da terra in cm.,5.0,,
25,815,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,170.0,Profondità in cm.,249.0,Altezza wc in cm.,49.0,Percorribilita interna  - ascensore - pulsantiera braille,Esistenza [Si/No],Si,,,,,Percorribilita interna - ascensore,Esistenza [Si/No],Si,,,Larghezza in cm.,158.0,Profondita in cm.,93.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,103.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,130.0,Forza necessaria per aprirla in kg.,2.0,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],entrambi i lati,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,83.0,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIA ROSMINI,Distanza dall'ingresso in metri,70.0,Ingresso - campanello e/o citofono,Esistenza [Si/No],Si,Altezza da terra in cm.,137.0,,
26,847,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,95.0,Distanza fra porta e controporta in cm.,0.0,,,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,0.0,Forza necessaria per aprirla in kg.,1.5,Ingresso - rampa di accesso,Esistenza [Si/No],Si,,,Dislivello in percentuale,27.0,Lunghezza in cm.,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,920,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,210.0,Profondità in cm.,240.0,Altezza wc in cm.,50.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,2.5,Servizi igienici - bagno - lavabo  regolabile,Esistenza [Si/No],No,,,,,Servizi igienici - bagno dedicato - maniglioni di sostegno,Posizione [entrambi i lati/lato accostamento/lato opposto accostamento],lato opposto accostamento,,,,,Servizi igienici - bagno - campanello di chiamata,Esistenza [Si/No],Si,,,,,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Scorrevole,Larghezza in cm.,79.0,Servizi igienici - bagno attrezzato,Esistenza [Si/No],Si,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Esterno,Larghezza in cm.,81.0,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,122.0,Ingresso - rampa di accesso,Esistenza [Si/No],Si,Dislivello in percentuale,15.3,,,,,,,
28,921,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,138.0,Profondità in cm.,162.0,Altezza wc in cm.,41.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,88.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,113.0,Forza necessaria per aprirla in kg.,2.0,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,70.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,117.0,Profondita in cm.,268.0,Parcheggi riservati alle persone disabili,Indirizzo del parcheggio riservato,VIALE DANTE,Distanza dall'ingresso in metri,20.0,,,Ingresso - gradini o soglie esterni,Esistenza [Si/No],Si,Altezza da terra in cm.,7.0,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,79.0,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,70.0,,,,,,,,,,,,
29,929,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,102.0,Profondità in cm.,116.0,Altezza wc in cm.,40.0,Porta d'entrata - caratteristiche,,,Larghezza porta in cm.,86.5,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,,,Altezza maniglia da terra in cm.,90.0,Forza necessaria per aprirla in kg.,2.5,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,58.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,193.5,Profondita in cm.,94.0,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,82.0,,,Servizi igienici - bagno - specchio regolabile,Esistenza [Si/No],No,,,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,72.0,,,,,,,,,,,,,,,,,,,,,,
30,939,Servizi igienici - bagno ,Esistenza [Si/No],Si,Larghezza in cm.,105.0,Profondità in cm.,105.0,Altezza wc in cm.,36.0,Percorribilita interna - gradini,Esistenza [Si/No],Si,Altezza da terra in cm.,15.0,,,Porta d'entrata - caratteristiche,,,,,Larghezza porta in cm.,90.0,Distanza fra porta e controporta in cm.,0.0,Porta d'entrata - apertura,Tipo apertura [Manuale verso interno/Automatica verso interno/Manuale verso esterno/Automatica verso esterno/Manuale scorrevole/Automatica scorrevole/Manuale verso interno ed esterno/Automatica verso interno ed esterno],Manuale verso interno,Altezza maniglia da terra in cm.,94.0,Forza necessaria per aprirla in kg.,2.0,Servizi igienici - bagno - porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,67.0,,,Servizi igienici - antibagno ,Esistenza [Si/No],Si,Larghezza in cm.,112.0,Profondita in cm.,213.0,Servizi igienici - bagno - lavabo fisso,,,Altezza lavabo,77.0,Servizi igienici - antibagno - apertura porta,Verso apertura [Interno/Esterno/Entrambi/Scorrevole],Interno,Larghezza in cm.,66.0,,,,,,,,,,,,,,,,,,,,,,
